Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",38.250000,-71.250000,90.000000,bottom
"C25","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",58.130000,-37.400000,-90.000000,bottom
"C26","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",52.380000,-37.450000,-90.000000,bottom
"C27","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.630000,-37.487500,-90.000000,bottom
"C28","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.750000,-70.750000,90.000000,bottom
"C29","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",30.432500,-70.250000,180.000000,bottom
"D12","LED_RED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",64.000000,-57.900000,180.000000,bottom
"J4","Conn_01x04_Socket","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",27.000000,-54.500000,90.000000,bottom
"R15","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",40.250000,-31.402500,-90.000000,bottom
"R16","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",45.847500,-33.250000,180.000000,bottom
"R17","10kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",45.250000,-31.402500,-90.000000,bottom
"R18","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",29.989358,-42.296429,45.000000,bottom
"R19","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",30.700000,-43.000000,45.000000,bottom
"R24","10kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",36.700000,-67.300000,90.000000,bottom
"R25","10kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",38.100000,-63.902500,90.000000,bottom
"R26","10kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",60.500000,-68.700000,180.000000,bottom
"R29","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",60.900000,-57.900000,180.000000,bottom
"U6","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",48.750000,-65.750000,0.000000,bottom
"U7","AP2112K-3.3","SOT-23-5_HandSoldering",55.280000,-38.000000,180.000000,bottom
"C1","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",37.200000,-41.790000,180.000000,top
"C2","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",39.575000,-39.200001,90.000000,top
"C3","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",36.420000,-49.370000,90.000000,top
"C4","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",40.050000,-54.750000,180.000000,top
"C5","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",48.925000,-52.800001,0.000000,top
"C8","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",37.700000,-53.967500,90.000000,top
"C9","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",35.360626,-43.679578,135.000000,top
"C10","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",35.000000,-48.000000,-135.000000,top
"C11","2.2uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",47.125000,-54.800001,-90.000000,top
"C12","2.2uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",51.425000,-43.400001,0.000000,top
"C13","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",58.350000,-31.950000,90.000000,top
"C14","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.700000,-54.962500,-90.000000,top
"C15","2.2uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.700000,-52.667500,-90.000000,top
"C16","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",52.350000,-31.882500,90.000000,top
"C17","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.750000,-31.162500,90.000000,top
"C18","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",56.700000,-52.632500,-90.000000,top
"C19","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.150000,-50.800000,0.000000,top
"C20","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",32.600000,-37.300000,-90.000000,top
"C21","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",31.600000,-37.300000,-90.000000,top
"C22","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",42.600000,-61.700000,90.000000,top
"C23","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",43.600000,-55.500000,-90.000000,top
"C24","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",44.600000,-55.500000,-90.000000,top
"C30","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",57.132500,-48.100000,180.000000,top
"C31","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",59.100000,-45.500000,90.000000,top
"C32","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",49.950000,-42.300000,0.000000,top
"D2","LED_RED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",68.227499,-26.200000,180.000000,top
"D3","SS14","D_SMA",60.500000,-41.250000,0.000000,top
"D4","SS14","D_SMA",65.500000,-37.750000,0.000000,top
"D5","LED_RED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",68.177499,-27.600000,180.000000,top
"D8","LED_RED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",28.000000,-28.572501,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",69.795000,-45.500000,90.000000,top
"J3","Conn_01x08_Socket","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",42.744437,-25.982970,180.000000,top
"J5","Conn_01x06_Socket","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",27.000000,-38.750000,-90.000000,top
"R2","10kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",38.400000,-56.900000,180.000000,top
"R3","10kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",53.250000,-48.750000,-90.000000,top
"R4","5.1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",63.250000,-48.000000,180.000000,top
"R5","5.1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",58.347500,-43.500000,180.000000,top
"R7","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",65.902500,-26.200000,180.000000,top
"R8","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",65.900000,-27.600000,180.000000,top
"R10","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",37.100000,-39.900000,-90.000000,top
"R11","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",38.300000,-36.800000,90.000000,top
"R14","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",28.000000,-31.000000,-90.000000,top
"R20","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",55.300000,-57.900000,180.000000,top
"SW1","SW_Push","SW_Push_1P1T-SH_NO_CK_KMR2xxG",34.350000,-54.000000,0.000000,top
