"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"+VIN_BEC1,-VIN_BEC1","2","TestPoint","","","","TestPoint:TestPoint_THTPad_3.0x3.0mm_Drill1.5mm",""
"C1,C2,C3,C4,C5,C7,C8,C14,C18,C20,C21,C22,C23,C24,C29,C30,C31,C32","18","100nF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"C9,C10","2","12pF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"C11,C12,C15","3","2.2uF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"C13,C16,C25,C26","4","1uF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"C17","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C19","1","10nF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"C27","1","4.7u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C28","1","10uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"D2,D5,D8,D12","4","LED_RED","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",""
"D3,D4","2","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Conn_01x08_Socket","","","","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",""
"J4","1","Conn_01x04_Socket","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",""
"J5","1","Conn_01x06_Socket","","","","Connector_JST:JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",""
"J7","1","Conn_01x04_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"R2,R3,R17,R24,R25,R26","6","10kR","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"R4,R5","2","5.1kR","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"R7,R8,R14,R15,R16,R29","6","1kR","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"R10,R11,R18,R19,R20","5","4.7kR","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG",""
"SW5","1","SW_SPDT_312","","","","Button_Switch_SMD:SW_SPDT_PCM12",""
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"U1","1","STM32F405RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf"
"U2,U7","2","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U3","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U4","1","ICM-20602","","","","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","http://www.invensense.com/wp-content/uploads/2016/10/DS-000176-ICM-20602-v1.0.pdf"
"U5","1","BMP280","","","","Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf"
"U6","1","ESP32-C3-WROOM-02","","","","RF_Module:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf"
"U9","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U10","1","FSUSB42MUX","","","","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.onsemi.com/pub/Collateral/FSUSB42-D.PDF"
"Y1","1","Crystal_GND24","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",""
